Product,Brand,Category,Style,Quantity,Quantity Units,Units (4 Decimal Places)
13 Guns,Crafty Dan,Beer,IPA,330,ml,1.8150
13 Guns,Crafty Dan,Beer,IPA,330,ml,1.8150
13 Guns,Crafty Dan,Beer,IPA,1,pint,3.1240
Abbot Ale,Greene King,Beer,Ale,500,ml,2.5000
Abbot Ale,Greene King,Beer,Beer,1,pint,2.8400
Addlestones Cloudy,Addlestones,Cider,,500,ml,2.5000
Addlestones Cloudy,Stone,Cider,,1,pint,2.9536
Adnams Broadside,Adnams,Beer,,1,pint,2.6696
Adnams Crystal Rye IPA,Adnams,Beer,Rye Beer,330,ml,1.6500
Adnams Dry Hopped Lager,Adnams,Beer,Lager,330,ml,1.3860
Adnams FreeWheel,Adnams,Beer,Summer Ale,1,pint,2.0448
Adnams Ghost Ship,Adnams,Beer,Pale Ale,1,pint,2.5560
Adnams Mosaic Pale Ale,Adnams,Beer,Pale Ale,330,ml,1.3530
Adnams Mosaic Pale Ale,Adnams,Beer,Pale Ale,330,ml,1.3530
Adnams Mosaic Pale Ale,Adnams,Beer,Pale Ale,1,pint,2.3288
Adnams Sloe Storm,Adnams,Beer,Amber Ale,1,pint,2.2720
Adnams Southwold Bitter,Adnams,Beer,Amber Ale,1,pint,2.1016
Ale Fresco,Greene King,Beer,Ale,1,pint,2.4424
Alhambra Especial,Alhambra,Beer,Lager,1,pint,2.7264
Alhambra Reserva,Alhambra,Beer,Lager,330,ml,2.1120
Amarillo Single Hop Session IPA,Greene King,Beer,IPA,1,pint,2.1584
Amigos,Amigos,Beer,Lager,330,ml,1.6830
Amstel,Amstel,Beer,Lager,330,ml,1.3530
Amstel Lager,Amstel,Beer,Lager,1,pint,2.3288
Anchor California Lager,Anchor,Beer,Lager,355,ml,1.7395
Anchor Liberty Ale,Anchor,Beer,IPA,355,ml,2.0945
Anchor Porter,Anchor,Beer,Porter,335,ml,1.8760
Anchor Steam Beer,Anchor,Beer,Steam Beer,355,ml,1.7040
Anchor Steam Beer,Anchor,Beer,Steam Beer,1,pint,2.7264
Angry Orchard Cider,Angry Orchard,Cider,,500,ml,2.5000
Angry Orchard Hard Cider,Angry Orchard,Cider,,1,pint,2.8400
Ansells Drum Mild,Ansells,Beer,Bitter,1,pint,1.8176
Asahi Super Dry,Asahi,Beer,Lager,330,ml,1.7160
Asahi Super Dry,Asahi,Beer,Lager,1,pint,2.9536
Ashton Press Cider,Ashton Press,Cider,,500,ml,2.4000
Aspall Cyder,Aspall,Cider,,1,pint,2.5560
Aspall Cyderkyn,Aspall,Cider,,1,pint,2.1584
Aspall Draught Cyder,Aspall,Cider,,330,ml,1.8150
Aspall Draught Cyder,Aspall,Cider,,1,pint,3.1240
Aspall Harry Sparrow,Aspall,Cider,,500,ml,2.3000
Aspall Harry Sparrow,Aspall,Cider,,1,pint,2.6128
Aspall Isabel's Berry,Aspall,Cider,Fruit Cider,500,ml,1.9000
Aspall Mulled Cyder,Aspall,Cider,Mulled Cider,1,pint,2.1584
Aspall Peronelle's Blush,Aspall,Cider,Fruit Cider,500,ml,2.0000
Aspall Premier Cru Cyder,Aspall,Cider,,500,ml,3.5000
Babycham Popping Cork,Babycham,Cider,Perry,75,cl,4.1250
Back of the Net,Greene King,Beer,Blonde Ale,1,pint,2.3288
Bad Apple Cider,Bad Apple,Cider,,1,pint,2.8968
Bah Humbug,Wychwood,Beer,Ale,1,pint,2.4424
Bass,Bass,Beer,,500,ml,2.2000
Bass,Bass,Beer,Ale,1,pint,2.4992
Bass Smooth,Bass,Beer,,1,pint,2.0448
Bath Ales Gem,Bath Ales,Beer,Bitter,1,pint,2.3288
Beck's Bier,Beck's,Beer,Lager,275,ml,1.3200
Beck's Bier,Beck's,Beer,Lager,1,pint,2.7832
Beck's Blue,Beck's,Beer,Lager,275,ml,0.0000
Beck's Vier,Beck's,Beer,Lager,1,pint,2.2720
Bedlam Pale Ale,Bedlam,Beer,Pale Ale,1,pint,2.7264
Beerd Monterey,Beerd,Beer,Pale Ale,1,pint,1.7608
Belhaven Best,Belhaven,Beer,Bitter,1,pint,1.8176
Belhaven Export 80/- ,Belhaven,Beer,Ale,500,ml,1.9500
Belhaven Light,Belhaven,Beer,Ale,1,pint,1.5336
Bellerose Blonde,Bellerose,Beer,Lager,330,ml,2.1450
Bellerose Blonde Extra,Bellerose,Beer,Lager,330,ml,2.1450
Belleville Balham Black Lager,Belleville,Beer,Lager,330,ml,1.5180
Bellfield Bohemian Pilsner Gluten Free,Bellfield,Beer,Lager,330,ml,1.4850
Bellfield Bohmenian Pilsner,Bellfield,Beer,Lager,1,pint,2.5560
Bellfield Lawless Village IPA,Bellfield,Beer,IPA,1,pint,2.5560
Bellfield Lawless Village IPA Gluten Free,Bellfield,Beer,IPA,330,ml,1.4850
Berliner Heist,The London Beer Factory,Beer,Sour Beer,330,ml,1.1550
Berliner Pilsner,Berliner,Beer,Lager,330,ml,1.6500
Berliner Pilsner,Berliner,Beer,Lager,1,pint,2.8400
Betty Stogs,Skinners,Beer,Bitter,1,pint,2.2720
Beyond The Pale,The London Beer Factory,Beer,Pale Ale,330,ml,1.3860
Beyond the Pale,The London Beer Factory,Beer,Pale Ale,1,pint,2.3856
Big Hug Juicy Pale,Big Hug Brewing,Beer,Pale Ale,330,ml,1.3200
Big Hug Juicy Pale,Big Hug Brewing,Beer,Pale Ale,1,pint,2.2720
Big Hug Pilsner,Big Hug Brewing,Beer,Lager,330,ml,1.3860
Big Hug Pilsner,Big Hug Brewing,Beer,Lager,1,pint,2.3856
Big Hug Spirit Pale Ale,Big Hug Brewing,Beer,Pale Ale,330,ml,1.3860
Big Hug Spirit Pale Ale,Big Hug Brewing,Beer,Lager,330,ml,1.3860
Big Hug White IPA,Big Hug Brewing,Beer,IPA,330,ml,1.7160
Big Hug White IPA,Big Hug Brewing,Beer,IPA,330,ml,1.7160
Big Hug White IPA,Big Hug Brewing,Beer,IPA,1,pint,2.9536
Birra del Borgo Cortigianna,Birra del Borgo,Beer,Pale Ale,33,cl,1.6500
Birra Del Borgo Lisa,Birra del Borgo,Beer,Lager,1,pint,2.8400
Birra Moretti,Birra Moretti,Beer,Lager,330,ml,1.5180
Birra Moretti,Birra Moretti,Beer,Lager,330,ml,1.5180
Birra Moretti,Birra Moretti,Beer,Lager,1,pint,2.6128
Birra Poretti,Poretti,Beer,Lager,1,pint,2.7264
Birra Poretti 3,Poretti,Beer,Lager,1,pint,2.7264
Bishops Farewell,Oakham Ales,Beer,Ale,500,ml,2.3000
Bishops Finger,Shepherd Neame,Beer,Ale,500,ml,2.7000
Bishops Finger,Shepherd Neame,Beer,Ale,1,pint,2.8400
Bitburger Pils,Bitburger,Beer,Lager,1,pint,2.7264
Black Sheep Ale,Black Sheep,Beer,Ale,500,ml,2.2000
Black Sheep Ale,Black Sheep,Beer,Ale,1,pint,2.4992
Black Sheep Best Bitter,Black Sheep,Beer,Bitter,1,pint,2.1584
Black Sheep Bitter,Black Sheep,Beer,Bitter,1,pint,2.1584
Black Sheep Blind Side,Black Sheep,Beer,Ale,1,pint,2.4424
Black Sheep Blitzen,Black Sheep,Beer,Ale,1,pint,2.2720
Black Sheep Golden Sheep,Black Sheep,Beer,Ale,500,ml,2.3500
Black Sheep Milk Stout,Black Sheep,Beer,Stout,1,pint,2.4992
Black Sheep Pathmaker,Black Sheep,Beer,Pale Ale,1,pint,2.2720
Black Sheep Riggwelter,Black Sheep,Beer,Ale,500,ml,2.8500
Black Sheep Velo,Black Sheep,Beer,Pale Ale,1,pint,2.3856
Blackthorn Gold,Blackthorn,Cider,,440,ml,2.0680
Blackthorn Gold,Blackthorn,Cider,,1,pint,2.6696
Blind Pig Bourbon & Blueberry,Blind Pig,Cider,Fruit Cider,355,ml,1.9525
Blind Pig Whiskey Honey & Apple,Blind Pig,Cider,,355,ml,1.9525
Blue Moon,Blue Moon,Beer,Wheat Beer,330,ml,1.7820
Blue Moon,Blue Moon,Beer,Wheat Beer,1,pint,3.0672
Blue Point Toasted,Blue Point,Beer,Lager,1,pint,3.1240
Boddingtons,Boddingtons,Beer,Bitter,440,ml,1.6720
Boddingtons,Boddingtons,Beer,Bitter,1,pint,1.9880
Bolee D'Armorique Cidre Brut,Bolee D'Armorique,Cider,,330,ml,1.6500
Bombardier,Bombardier,Beer,Bitter,500,ml,2.3500
Bombardier,Bombardier,Beer,Bitter,1,pint,2.3288
Bombardier Burning Gold,Bombardier,Beer,Ale,1,pint,2.3288
Bombardier Pale Ale,Bombardier,Beer,Pale Ale,1,pint,2.0448
Bonkers Conkers,Greene King,Beer,,1,pint,2.3288
Boulevard Single-Wide IPA,Boulevard,Beer,IPA,330,ml,1.8810
Boulevard Tank7,Boulevard,Beer,Ale,330,ml,2.8050
Boulveard Single-Wide IPA,Boulevard,Beer,IPA,1,pint,3.2376
Brahma,Brahma,Beer,Lager,330,ml,1.4190
Brahma,Brahma,Beer,Lager,1,pint,2.4424
Brains Bitter Smooth,Brains,Beer,Bitter,1,pint,2.1016
BrewDog 5AM Saint,BrewDog,Beer,Red Ale,330,ml,1.6500
BrewDog Clockwork Tangerine,BrewDog,Beer,IPA,330,ml,1.4850
BrewDog Clockwork Tangerine,BrewDog,Beer,IPA,1,pint,2.5560
BrewDog Dead Pony Club,BrewDog,Beer,Pale Ale,330,ml,1.2540
BrewDog Dead Pony Club,BrewDog,Beer,Pale Ale,330,ml,1.2540
BrewDog Dead Pony Club,BrewDog,Beer,Pale Ale,1,pint,2.1584
BrewDog Electric India,BrewDog,Beer,IPA,330,ml,1.7160
BrewDog Electric India,BrewDog,Beer,IPA,1,pint,3.1808
BrewDog Elvis Juice,BrewDog,Beer,IPA,330,ml,2.1450
BrewDog Elvis Juice,BrewDog,Beer,IPA,330,ml,2.1450
BrewDog Elvis Juice,BrewDog,Beer,IPA,1,pint,3.6920
BrewDog Get Out Claus,BrewDog,Beer,Stout,330,ml,2.7060
BrewDog Hoppy Christmas,BrewDog,Beer,IPA,330,ml,2.3760
BrewDog Indie Pale Ale,BrewDog,Beer,Pale Ale,1,pint,2.3856
Brewdog Jet Black Heart,BrewDog,Beer,Stout,330,ml,1.5510
Brewdog Jet Black Heart,BrewDog,Beer,Stout,1,pint,2.6696
BrewDog Kingpin Lager,BrewDog,Beer,Lager,330,ml,1.5510
BrewDog Kingpin Lager,BrewDog,Beer,Lager,330,ml,1.5510
BrewDog Kingpin Lager,BrewDog,Beer,Lager,1,pint,2.6696
BrewDog Lost Lager,BrewDog,Beer,Lager,330,ml,1.5510
BrewDog Lost Lager,BrewDog,Beer,Lager,1,pint,2.6696
BrewDog Mistletoe Mafia,BrewDog,Beer,Lager,330,ml,1.4850
BrewDog Nanny State,BrewDog,Beer,Ale,330,ml,0.1650
BrewDog Punk IPA,BrewDog,Beer,IPA,330,ml,1.8480
BrewDog Punk IPA,BrewDog,Beer,IPA,330,ml,1.8480
BrewDog Santa Paws,BrewDog,Beer,Ale,330,ml,1.4850
BrewDog Slot Machine,BrewDog,Beer,IPA,330,ml,1.7160
BrewDog Slot Machine,BrewDog,Beer,IPA,1,pint,2.9536
BrewDog Vagabond,BrewDog,Beer,Pale Ale,330,ml,1.4850
BrewDog Zeitgeist,BrewDog,Beer,Lager,1,pint,2.6696
BrewDog Zeitgeist Black Lager,BrewDog,Beer,Lager,330,ml,1.5510
Brewgooder Clean Water Lager,Brewgooder,Beer,Lager,330,ml,1.4850
Brewgooder Clean Water Lager,Brewgooder,Beer,Lager,330,ml,1.4850
Brewgooder Clean Water Lager,Brewgooder,Beer,Lager,1,pint,2.5560
Brooklyn 1/2 Ale,Brooklyn,Beer,Ale,355,ml,1.2070
Brooklyn Brown Ale,Brooklyn,Beer,Brown Ale,355,ml,1.9880
Brooklyn Lager,Brooklyn,Beer,Lager,355,ml,1.8460
Brooklyn Lager,Brooklyn,Beer,Lager,355,ml,1.8460
Brooklyn Lager,Brooklyn,Beer,Lager,1,pint,2.9536
Brooklyn Naranjito,Brooklyn,Beer,Pale Ale,355,ml,1.5975
Brooklyn Summer Ale,Brooklyn,Beer,Summer Ale,355,ml,1.7750
Brothers Coconut & Lime,Brothers,Cider,Fruit Cider,500,ml,2.0000
Brothers Pear Cider,Brothers,Cider,Perry,1,pint,2.8400
Brothers Rhubarb & Custard,Brothers,Cider,Fruit Cider,500,ml,2.0000
Brothers Strawberry & Kiwi,Brothers,Cider,Fruit Cider,500,ml,2.0000
Brothers Strawberry & Lime,Brothers,Cider,Fruit Cider,500,ml,2.0000
Brothers Strawberry and Pear,Brothers,Cider,Fruit Cider,500,ml,2.0000
Brothers Toffee Apple,Brothers,Cider,,500,ml,2.0000
Brothers Wild Fruit,Brothers,Cider,Fruit Cider,500,ml,2.0000
Bucket Of Blood,St Austell,Beer,Ale,1,pint,2.5560
Bud Light,Budweiser,Beer,Lager,300,ml,1.0500
Bud Light,Budweiser,Beer,Lager,440,ml,1.5400
Bud Light,Budweiser,Beer,Lager,1,pint,1.9880
Budweiser,Budweiser,Beer,Lager,473,ml,2.1285
Budweiser,Budweiser,Beer,Lager,330,ml,1.4850
Budweiser,Budweiser,Beer,Lager,660,ml,2.9700
Budweiser,Budweiser,Beer,Lager,440,ml,1.9800
Budweiser,Budweiser,Beer,Lager,500,ml,2.2500
Budweiser,Budweiser,Beer,Lager,1,pint,2.5560
Budweiser Budvar,Budweiser Budvar,Beer,Lager,500,ml,2.5000
Budweiser Budvar,Budweiser Budvar,Beer,Lager,330,ml,1.6500
Budweiser Budvar,Budweiser Budvar,Beer,Lager,330,ml,1.6500
Budweiser Budvar,Budweiser Budvar,Beer,Lager,1,pint,2.8400
Budweiser Budvar B:FREE,Budweiser Budvar,Beer,Lager,330,ml,0.1650
Budweiser Budvar Dark,Budweiser Budvar,Beer,Lager,500,ml,2.3500
Budweiser Budvar Krausened,Budweiser Budvar,Beer,Lager,1,pint,2.2720
Budweiser Prohibition Brew,Budweiser,Beer,Lager,330,ml,0.0000
Bulmers Blueberry and Lime,Bulmers,Cider,Fruit Cider,500,ml,2.0000
Bulmers Crushed Red Berries & Lime,Bulmers,Cider,Fruit Cider,500,ml,2.0000
Bulmers Orchard Pioneers Kier's Cloudy Apple,Bulmers,Cider,,500,ml,2.5000
Bulmers Orchard Pioneers Sarah's Red Apple,Bulmers,Cider,,500,ml,2.5000
Bulmers Original,Bulmers,Cider,,500,ml,2.2500
Bulmers Pear,Bulmers,Cider,Perry,500,ml,2.2500
Burning Kiss,Kissmeyer,Beer,Amber Ale,330,ml,1.8150
Butcombe Bitter,Butcombe,Beer,Bitter,500,ml,2.2500
Butcombe Bitter (Cask),Butcombe,Beer,Bitter,1,pint,2.2720
Butcombe Bitter (Keg),Butcombe,Beer,Bitter,1,pint,2.5560
Butcombe Gold,Butcombe,Beer,Bitter,500,ml,2.3500
Butcombe Haka,Butcombe,Beer,Blonde Ale,1,pint,2.5560
By The Horns 2Tone London Lager,By The Horns,Beer,Lager,330,ml,1.4850
By The Horns Stiff Upper Lip,By The Horns,Beer,Lager,330,ml,1.2540
By The Horns Wolfie Smith,By The Horns,Beer,IPA,330,ml,1.7160
Caesar Augustus,Williams Bros. Brewing Co.,Beer,Lager,500,ml,2.5000
Caffrey's,Caffrey's,Beer,Ale,1,pint,2.1584
Caledonia Best,Caledonia,Beer,Bitter,1,pint,1.8176
Caledonian Three Hop,Caledonian,Beer,Lager,1,pint,2.5560
Camden Hells,Camden Town,Beer,Lager,330,ml,1.5180
Camden Hells,Camden Town,Beer,Lager,330,ml,1.5180
Camden Hells,Camden Town,Beer,Lager,1,pint,2.6128
Camden Pale Ale,Camden Town,Beer,Pale Ale,330,ml,1.3200
Camden Pale Ale,Camden Town,Beer,Pale Ale,330,ml,1.3200
Camden Pale Ale,Camden Town,Beer,Pale Ale,1,pint,2.2720
Camerons Brewery Motorhead Road Crew,Camerons Brewery,Beer,Pale Ale,330,ml,1.6500
Camerons Tontine Milk Stout,Camerons Brewery,Beer,Stout,330,ml,1.3530
Caple Rd Cider,Caple Rd,Cider,,330,ml,1.7160
Carling Cider,Carling,Cider,,1,pint,2.5560
Carling Lager,Carling,Beer,Lager,1,pint,2.2720
Carlsberg Export,Carlsberg,Beer,Lager,330,ml,1.5840
Carlsberg Export,Carlsberg,Beer,Lager,1,pint,2.7264
Carlsberg Lager,Carlsberg,Beer,Lager,330,ml,1.2540
Carlsberg Lager,Carlsberg,Beer,Lager,1,pint,2.1584
Carlsberg Special Brew,Carlsberg,Beer,Lager,275,ml,2.4750
Carlsberg Zero,Carlsberg,Beer,Lager,275,ml,0.0000
Celt Chieftain,Celt,Beer,IPA,330,ml,1.4190
Celt House Lager,Celt,Beer,Lager,330,ml,1.6500
Celt Pilsner,Celt,Beer,Lager,330,ml,1.6500
Celt Silures,Celt,Beer,Golden Ale,330,ml,1.5180
Celt Silures Munich Pale Ale,Celt,Beer,Pale Ale,330,ml,1.5180
Ceriux Rubia,Ceriux,Beer,Ale,375,ml,2.0250
Chang Classic Beer,Chang,Beer,Lager,320,ml,1.6000
Charlie Wells Triple Hopped IPA,Charlie Wells,Beer,IPA,330,ml,1.7160
Charlie Wells Triple Hopped IPA,Charlie Wells,Beer,IPA,1,pint,2.9536
Chaumet Demi Sec,Chaumet,Cider,Perry,75,cl,4.1250
Chelsea Blonde,The London Beer Factory,Beer,Blonde Ale,330,ml,1.4190
Chelsea Blonde,The London Beer Factory,Beer,Blonde Ale,1,pint,2.4424
Chimay Blue Trappist,Chimay,Beer,Lager,33,cl,2.9700
Chimay Gold,Chimay,Beer,Lager,330,ml,1.5840
Chimay Gold,Chimay,Beer,Lager,1,pint,2.7264
Chimay Red,Chimay,Beer,Lager,33,cl,2.3100
CiderBoys First Press Traditional Hard Cider,CiderBoys,Cider,,355,ml,1.7750
CiderBoys First Press Traditional Hard Cider,CiderBoys,Cider,,355,ml,1.7750
CiderBoys First Press Traditional Hard Cider,CiderBoys,Cider,,1,pint,2.8400
Cidersmiths Bristol Draught,Cidersmiths,Cider,,500,ml,2.7500
Cidersmiths Harry Masters Jersey Craft Cider,Cidersmiths,Cider,,500,ml,2.2500
Cidersmiths Harry Masters Jersey Craft Cider,Cidersmiths,Cider,,330,ml,1.4850
Cidersmiths Harry Masters Jersey Craft Cider,Cidersmiths,Cider,,1,pint,2.5560
Cidersmiths SixPointSix Craft Cider,Cidersmiths,Cider,,500,ml,3.3000
Cinque,Five Grain,Beer,Lager,330,ml,1.6500
Cinque,Five Grain,Beer,Lager,1,pint,2.8400
Cobra,Cobra,Beer,Lager,330,ml,1.5840
Cobra,Cobra,Beer,Lager,660,ml,3.1680
Cobra,Cobra,Beer,Lager,1,pint,2.4424
Cobra Zero,Cobra,Beer,Lager,330,ml,0.0000
Collesi Ambrata,Collesi,Beer,Amber Ale,330,ml,2.4750
Collesi Bionda,Collesi,Beer,Blonde Ale,330,ml,1.9800
Collesi Rossa,Collesi,Beer,Red Ale,330,ml,2.6400
Commonside Pale Ale,Belleville,Beer,Pale Ale,330,ml,1.6500
Coopers Pale Ale,Coopers Brewery,Beer,Pale Ale,375,ml,1.6875
Coors Light,Coors,Beer,Lager,330,ml,1.3200
Coors Light,Coors,Beer,Lager,500,ml,2.0000
Coors Light,Coors,Beer,Lager,1,pint,2.3856
Copse House Cider Landshire Medium,Copse House Cider,Cider,,500,ml,2.2500
Copse House Cider Landshire Medium Dry,Copse House Cider,Cider,,500,ml,3.0000
Cornish Orchards Blush,Cornish Orchards,Cider,,330,ml,1.3200
Cornish Orchards Blush,Cornish Orchards,Cider,,500,ml,2.0000
Cornish Orchards Blush,Cornish Orchards,Cider,Fruit Cider,1,pint,2.2720
Cornish Orchards Dry Cider,Cornish Orchards,Cider,,500,ml,2.6000
Cornish Orchards Dry Cider,Cornish Orchards,Cider,,1,pint,2.9536
Cornish Orchards Gold,Cornish Orchards,Cider,,500,ml,2.5000
Cornish Orchards Gold,Cornish Orchards,Cider,,330,ml,1.3200
Cornish Orchards Gold,Cornish Orchards,Cider,,1,pint,2.5560
Cornish Orchards Heritage Cider,Cornish Orchards,Cider,,500,ml,2.5000
