Product,Brand,Category,Style,Quantity,Quantity Units,Units (4 Decimal Places)
Rothhammer Stratus lager,Rothhammer,Beer,Lager,1,pint,2.3856
Ruck & Roll,St Austell,Beer,Ale,1,pint,2.2720
Ruddles Best,Ruddles,Beer,Bitter,1,pint,2.1016
Rudolph's Reward,No. 18 Yard Brewhouse,Beer,Light Ale,1,pint,2.1016
Sadler's Peaky Blinder Craft Lager,Sadler's Peaky Blinder,Beer,Lager,1,pint,2.3288
Sadler's Peaky Blinder Lager,Sadler's Peaky Blinder,Beer,Lager,330,ml,1.3530
Sadler's Peaky Blinder Pale Ale,Sadler's Peaky Blinder,Beer,Pale Ale,500,ml,2.2000
Sagres,Sagres,Beer,Lager,1,pint,2.8400
Saint Lager,Saint,Beer,Lager,330,ml,1.5180
Salitos,Salitos,Beer,Lager,330,ml,1.9470
Samuel Adams Boston Lager,Samuel Adams,Beer,Lager,330,ml,1.5840
Samuel Adams Boston Lager,Samuel Adams,Beer,Lager,1,pint,2.7264
San Miguel,San Miguel,Beer,Lager,330,ml,1.6500
San Miguel,San Miguel,Beer,Lager,1,pint,2.8400
San Miguel Fresca,San Miguel,Beer,Lager,330,ml,1.4520
Sandford Orchards Berry Lane Cider,Sandford Orchards,Cider,Fruit Cider,500,ml,2.0000
Sandford Orchards Devon Mist,Sandford Orchards,Cider,,500,ml,2.2500
Sandford Orchards Devon Mist,Sandford Orchards,Cider,,1,pint,2.5560
Sandford Orchards Devon Red,Sandford Orchards,Cider,,500,ml,2.2500
Sandford Orchards Devon Red,Sandford Orchards,Cider,,330,ml,1.4850
Sandford Orchards Devon Red,Sandford Orchards,Cider,,1,pint,2.5560
Sandford Orchards Old Blossom,Sandford Orchards,Cider,,500,ml,2.0000
Sandford Orchards St Louis Dry Hopped,Sandford Orchards,Cider,,330,ml,1.8150
Sassy Cidre Lâ€™imitable,Sassy Cidre,Cider,,33,cl,1.7160
Sassy Cidre Rose,Sassy Cidre,Cider,,33,cl,0.9900
Savanna Dry Cider,Savanna,Cider,,330,ml,1.6500
Sayers Stout,The London Beer Factory,Beer,Stout,330,ml,1.4850
Seven Bro7hers EPA,Seven Bro7hers,Beer,Pale Ale,330,ml,1.5840
Seven Bro7hers IPA,Seven Bro7hers,Beer,IPA,330,ml,1.6500
Seven Bro7hers IPA,Seven Bro7hers,Beer,IPA,1,pint,2.8400
Seven Giraffes,Williams Bros. Brewing Co.,Beer,IPA,500,ml,2.5500
Sharp's Atlantic Pale Ale,Sharp's,Beer,Beer,1,pint,2.3856
Sharps 6 Vintage Blend,Sharps,Beer,Ale,330,ml,2.4420
Sharps Cornish Pilsner,Sharps,Beer,Lager,330,ml,1.7160
Sharps Cornish Pilsner,Sharps,Beer,Lager,1,pint,2.9536
Sharps Offshore Pilsner,Sharps,Beer,Lager,330,ml,1.5840
Sharps Offshore Pilsner,Sharps,Beer,Lager,1,pint,2.7264
Sharps Orchard Cider,Sharps,Cider,,1,pint,2.5560
Sharps Single Brew,Sharps,Beer,Lager,330,ml,1.4850
Shed Head,Backyard Brew,Beer,Lager,1,pint,2.6128
Sheppy's 200 Special Edition Cider,Sheppy's,Cider,,1,pint,2.8400
Sheppy's Classic Draught Cider,Sheppy's,Cider,,1,pint,3.1240
Sheppy's Oakwood Cider,Sheppy's,Cider,,1,pint,2.7264
Shipyard Pale Ale,Shipyard,Beer,Beer,1,pint,2.5560
Shipyard Rye Pale Ale,Shipyard,Beer,Rye Beer,1,pint,2.4424
Shipyard Summer Ale,Shipyard,Beer,Wheat Beer,1,pint,2.7264
Sierra Nevada California IPA,Sierra Nevada,Beer,IPA,355,ml,1.4910
Sierra Nevada California IPA,Sierra Nevada,Beer,IPA,1,pint,2.3856
Sierra Nevada Pale Ale,Sierra Nevada,Beer,Pale Ale,355,ml,1.9880
Sierra Nevada Pale Ale,Sierra Nevada,Beer,Pale Ale,355,ml,1.9880
Sierra Nevada Pale Ale,Sierra Nevada,Beer,Pale Ale,1,pint,2.8400
Sierra Nevada Porter,Sierra Nevada,Beer,Porter,355,ml,1.9880
Sierra Nevada Torpedo Extra IPA,Sierra Nevada,Beer,IPA,355,ml,2.5560
Sierra Nevada Tropical Torpedo,Sierra Nevada,Beer,IPA,355,ml,2.3785
Singha,Singha,Beer,Lager,330,ml,1.6500
Siren Craft Brew Calypso,Siren Craft Brew,Beer,Sour Beer,330,ml,1.3200
Siren Craft Brew Soundwave,Siren Craft Brew,Beer,IPA,330,ml,1.8480
Siren Craft Brew Soundwave,Siren Craft Brew,Beer,IPA,1,pint,3.1808
Siren Craft Brew Yu Lu,Siren Craft Brew,Beer,Ale,330,ml,1.2540
Skinny Brands Lager,Skinny Brands,Beer,Lager,330,ml,1.3200
Smirnoff Cider Mandarin & Pink Grapefruit,Smirnoff,Cider,Fruit Cider,500,ml,2.0000
Smirnoff Cider Passionfruit & Lime,Smirnoff,Cider,Fruit Cider,330,ml,1.3200
Smirnoff Cider Passionfruit & Lime,Smirnoff,Cider,Fruit Cider,500,ml,2.0000
Smirnoff Cider Raspberry & Pomegranate,Smirnoff,Cider,Fruit Cider,330,ml,1.3200
Smirnoff Cider Raspberry & Pomegranate,Smirnoff,Cider,Fruit Cider,500,ml,2.0000
Sol,Sol,Beer,Lager,330,ml,1.4850
Somersby Cider,Somersby,Cider,,500,ml,2.2500
Somersby Cider,Somersby,Cider,,1,pint,2.5560
Somersby Strawberry & Rhubarb,Somersby,Cider,Fruit Cider,1,pint,2.2720
Spaten Helles,Spaten,Beer,Lager,1,pint,2.9536
Spindrift,Adnams,Beer,Blonde Ale,1,pint,2.2720
Spitfire,Shepherd Neame,Beer,Ale,1,pint,2.3856
Spring Fever,St Austell,Beer,Ale,1,pint,2.3288
St Andrews Ale,Belhaven Brewery,Beer,Amber Ale,1,pint,2.7832
St Austell Jolly Holly,St Austell,Beer,Ale,1,pint,2.5560
St Austell Liquid Sun,St Austell,Beer,Golden Ale,1,pint,2.2152
St Austell Proper Job,St Austell,Beer,IPA,1,pint,2.5560
St Austell Tribute,St Austell,Beer,Ale,1,pint,2.3856
St George and the Dragon,Wadworth,Beer,Ale,1,pint,2.5560
St Stefanus Blonde,St Stefanus,Beer,Abbey Beer,330,ml,2.3100
St Stefanus Blonde,St Stefanus,Beer,Abbey Beer,1,pint,3.9760
Staropramen,Staropramen,Beer,Lager,330,ml,1.6500
Staropramen,Staropramen,Beer,Lager,1,pint,2.8400
Stella Artois,Stella Artois,Beer,Lager,330,ml,1.5840
Stella Artois,Stella Artois,Beer,Lager,440,ml,2.1120
Stella Artois,Stella Artois,Beer,Lager,1,pint,2.7264
Stella Artois 4%,Stella Artois,Beer,Lager,1,pint,2.2720
Stella Artois Black,Stella Artois,Beer,Lager,1,pint,2.7832
Stella Artois Cidre Apple,Stella Artois,Cider,,500,ml,2.2500
Stella Artois Cidre Peach,Stella Artois,Cider,Fruit Cider,500,ml,2.0000
Stella Artois Cidre Pear,Stella Artois,Cider,Fruit Cider,568,ml,2.5560
Stella Artois Cidre Raspberry,Stella Artois,Cider,Fruit Cider,500,ml,2.0000
Stella Artois Gluten Free,Stella Artois,Beer,Lager,330,ml,1.5840
Stella Cidre,Stella Artois,Cider,,1,pint,2.5560
Stewart Edinburgh Gold,Stewart,Beer,Golden Ale,330,ml,1.5840
Stewart Hollyrood Pale Ale,Stewart,Beer,Pale Ale,330,ml,1.6500
Stewart Ka Pai Hopped Pale Ale,Stewart,Beer,Pale Ale,330,ml,1.7160
Stone Go To IPA,Stone,Beer,IPA,330,ml,1.5510
Stone Go To IPA,Stone,Beer,IPA,1,pint,2.6696
Stone IPA,Stone,Beer,IPA,330,ml,2.2770
Stone White Ghost Berliner Weisse,Stone,Beer,Wheat Beer,330,ml,1.5510
Stowford Press,Stowford Press,Cider,,500,ml,2.2500
Stowford Press 0.5% Low Alcohol Cider,Stowford Press,Cider,,330,ml,0.1650
Stowford Press Draught Cider,Stowford Press,Cider,,1,pint,2.5560
Stowford Press Mixed Berries,Stowford Press,Cider,Fruit Cider,1,pint,2.2720
Strongbow,Strongbow,Cider,,330,ml,1.6500
Strongbow,Strongbow,Cider,,1,pint,2.5560
Sxollie Golden Delicous Cider,Sxollie,Cider,,330,ml,1.4850
Sxollie Granny Smith Cider,Sxollie,Cider,,330,ml,1.4850
Symonds Founder's Reserve Cider,Symonds,Cider,,1,pint,2.5560
Tailgate Peanut Butter Milk Stout,TailGate,Beer,Stout,355,ml,2.0590
Tailgate South East IPA,TailGate,Beer,IPA,355,ml,2.2010
Tartan Special,Younger's,Beer,Ale,1,pint,2.1016
Taunton Traditional Cider,Taunton Traditional Cider,Cider,,1,pint,2.9536
Tennent's 80/- Ember,Tennent's,Beer,Bitter,1,pint,2.3856
Tennent's Lager,Tennent's,Beer,Lager,500,ml,2.0000
Tennent's Lager,Tennent's,Beer,Lager,1,pint,2.2720
Tennent's Special,Tennent's,Beer,Bitter,500,ml,1.7500
Tennent's Special 70/-,Tennent's,Beer,Bitter,1,pint,1.9880
Tetley Smoothflow Bitter,Tetley's,Beer,Bitter,1,pint,2.0448
Tetley's Dark Mild,Tetley's,Beer,Ale,1,pint,1.5904
Tetley's Mild,Tetley's,Beer,Ale,1,pint,1.8176
Tetley's Smoothflow Bitter,Tetley's,Beer,Bitter,1,pint,2.0448
Tetley's Traditional Bitter,Tetley's,Beer,Bitter,1,pint,2.1016
Thatchers Gold,Thatchers,Cider,,500,ml,2.4000
Thatchers Gold,Thatchers,Cider,,1,pint,2.7264
Thatchers Green Goblin,Thatchers,Cider,,500,ml,2.5000
Thatchers Haze,Thatchers,Cider,,500,ml,2.2500
Thatchers Haze,Thatchers,Cider,,1,pint,2.5560
Thatchers Katy,Thatchers,Cider,,500,ml,3.7000
Thatchers Old Rascal,Thatchers,Cider,,500,ml,2.2500
Thatchers Old Rascal,Thatchers,Cider,,1,pint,2.5560
Thatchers Stan's Big Apple,Thatchers,Cider,,1,pint,2.8400
Thatchers Stan's Cheddar Valley,Thatchers,Cider,,1,pint,2.8400
Thatchers Stan's Trad,Thatchers,Cider,,1,pint,3.4080
The Cotswold Cider Co BlowHorn,The Cotswold Cider Co,Cider,,330,ml,1.3200
The Cotswold Cider Co No Brainer,The Cotswold Cider Co,Cider,,330,ml,1.5840
The Cotswold Cider Co Side Burns,The Cotswold Cider Co,Cider,,330,ml,1.7820
The Cotswold Cider Co Sweet Cheeks,The Cotswold Cider Co,Cider,Fruit Cider,330,ml,1.3200
The Other Side of the Blond,Vic Ale,Beer,Blonde Ale,330,ml,1.6500
Theakstons Best Bitter,Theakstons,Beer,Bitter,1,pint,2.1584
Thistly Cross Cider,Thistly Cross Cider,Cider,,500,ml,3.1000
Thistly Cross Ginger,Thistly Cross Cider,Cider,,330,ml,1.3200
Thistly Cross Real Elderflower Cider,Thistly Cross Cider,Cider,,330,ml,1.3200
Thistly Cross Real Strawberry Cider,Thistly Cross Cider,Cider,Fruit Cider,330,ml,1.3200
Thistly Cross Traditional Cider,Thistly Cross Cider,Cider,,500,ml,2.2000
Thistly Cross Traditional Cider,Thistly Cross Cider,Cider,,1,pint,2.4992
Thistly Cross Whisky Cask Cider,Thistly Cross Cider,Cider,,500,ml,3.4500
Thornbridge AM:PM,Thornbridge,Beer,IPA,330,ml,1.4850
Thornbridge AM:PM,Thornbridge,Beer,IPA,1,pint,2.5560
Thornbridge Jaipur,Thornbridge,Beer,IPA,330,ml,1.9470
Thornbridge Lukas Helles Lager,Thornbridge,Beer,Lager,330,ml,1.3860
Thornbridge Lukas Helles Lager,Thornbridge,Beer,Lager,1,pint,2.3856
Thornbridge Tart Bakewell Sour,Thornbridge,Beer,Sour Beer,330,ml,1.9800
Tiger,Tiger,Beer,Lager,330,ml,1.5840
Tiger,Tiger,Beer,Lager,1,pint,2.7264
Timmermans Peche,Timmermans,Beer,Fruit Beer,330,ml,1.3200
Timothy Taylor's Boltmaker,Timothy Taylor's,Beer,Bitter,1,pint,2.2720
Timothy Taylor's Landlord,Timothy Taylor's,Beer,Beer,1,pint,2.4424
Tiny Rebel Beatbox,Tiny Rebel,Beer,Pale Ale,330,ml,1.4850
Tiny Rebel Bo'Ho,Tiny Rebel,Beer,Lager,330,ml,1.6500
Tiny Rebel Cali,Tiny Rebel,Beer,Pale Ale,330,ml,1.8480
Tiny Rebel Clwb Tropicana,Tiny Rebel,Beer,IPA,330,ml,1.8150
Tiny Rebel Clwb Tropicana,Tiny Rebel,Beer,IPA,1,pint,3.1240
Tiny Rebel Cwtch,Tiny Rebel,Beer,Red Ale,330,ml,1.5180
Tiny Rebel Cwtch,Tiny Rebel,Beer,Red Ale,330,ml,1.5180
Tiny Rebel Cwtch,Tiny Rebel,Beer,Red Ale,1,pint,2.6128
Tiny Rebel Dirty Stop Out,Tiny Rebel,Beer,Stout,330,ml,1.5180
Tiny Rebel Dutty,Tiny Rebel,Beer,IPA,330,ml,1.3860
Tiny Rebel Dutty,Tiny Rebel,Beer,IPA,1,pint,2.3856
Tiny Rebel Frambuzi,Tiny Rebel,Beer,Sour Beer,330,ml,1.4190
Tiny Rebel Fubar,Tiny Rebel,Beer,Pale Ale,330,ml,1.4520
Tiny Rebel Stay Puft,Tiny Rebel,Beer,Porter,330,ml,1.7160
Toast Purebread Pale Ale,Toast,Beer,Pale Ale,330,ml,1.6500
Tribute,St Austell,Beer,Beer,1,pint,2.3856
Tsingtao,Tsingtao,Beer,Lager,330,ml,1.5510
Tuborg,Tuborg,Beer,Lager,1,pint,2.2720
Two Fingers Aurelio,Two Fingers,Beer,Golden Ale,330,ml,1.5840
Two Tribes Material World American Pale Ale,Two Tribes,Beer,Pale Ale,330,ml,1.8150
Two Tribes New Romantic Passion Fruit Gose,Two Tribes,Beer,Gose,330,ml,1.1880
Two Tribes Non Stop Hits Modern Lager,Two Tribes,Beer,Lager,330,ml,1.6500
Tyskie Gronie,Tyskie,Beer,Lager,500,ml,2.5000
Union,Butcombe,Beer,Ale,1,pint,2.7264
Vedett Blond,Vedett,Beer,Lager,330,ml,1.6500
Vedett Blond,Vedett,Beer,Lager,330,ml,1.7160
Vedett Extra Blonde,Vedett,Beer,Lager,1,pint,2.8400
Vedett Extra Ordinary IPA,Vedett,Beer,IPA,1,pint,3.1240
Vedett Extra White,Vedett,Beer,Wheat Beer,330,ml,1.5510
Vedett Extra White,Vedett,Beer,Wheat Beer,1,pint,2.6696
Vedett IPA,Vedett,Beer,IPA,330,ml,1.8150
Vedett IPA,Vedett,Beer,IPA,330,ml,1.8150
Vedett Session IPA,Vedett,Beer,IPA,330,ml,0.8910
Vic Ale Mumbai IPA,Vic Ale,Beer,IPA,330,ml,2.0460
Waddlegoose Cyder,Waddlegoose,Cider,,500,ml,2.3000
Waddlegoose Cyder,Waddlegoose,Cider,,1,pint,2.6128
Waddlegoose Three Berry,Waddlegoose,Cider,Fruit Cider,500,ml,1.9000
Waddlegoose Three Berry,Waddlegoose,Cider,Fruit Cider,1,pint,2.1584
Wadworth 6X,Wadworth,Beer,Amber Ale,500,ml,2.1500
Wadworth 6X,Wadworth,Beer,Amber Ale,1,pint,2.3288
Wadworth 6X Gold,Wadworth,Beer,Golden Ale,500,ml,2.2500
Wadworth Big Baubles,Wadworth,Beer,Pale Ale,1,pint,2.7832
Wadworth Bishops Tipple,Wadworth,Beer,Ale,500,ml,2.5000
Wadworth Bishops Tipple,Wadworth,Beer,Ale,1,pint,2.8400
Wadworth Brewer's Strength IPA,Wadworth,Beer,IPA,1,pint,3.5216
Wadworth Carrier,Wadworth,Beer,Pale Ale,500,ml,1.8000
Wadworth Cooper's Vice,Wadworth,Beer,Red Ale,1,pint,2.8400
Wadworth Corvus,Wadworth,Beer,Stout,1,pint,2.3288
Wadworth Dray Bells,Wadworth,Beer,Amber Ale,1,pint,2.3288
Wadworth Farmers Glory,Wadworth,Beer,Ale,1,pint,2.4992
Wadworth Game of Stones,Wadworth,Beer,Golden Ale,1,pint,2.1584
Wadworth Horizon,Wadworth,Beer,Golden Ale,500,ml,2.0000
Wadworth Horizon,Wadworth,Beer,Golden Ale,1,pint,2.2720
Wadworth IPA,Wadworth,Beer,IPA,500,ml,1.8000
Wadworth IPA,Wadworth,Beer,IPA,1,pint,2.0448
Wadworth Swordfish,Wadworth,Beer,Ale,500,ml,2.1500
Wadworth Swordfish,Wadworth,Beer,Ale,1,pint,2.8400
Wadworth Treacle Treat,Wadworth,Beer,Dark Ale,1,pint,2.3856
Wadworths Dirty Rucker,Wadworth,Beer,Ale,1,pint,2.2152
Wadworths Studs Up,Wadworth,Beer,Pale Ale,1,pint,2.2720
Wainwright,Wainwright,Beer,Beer,1,pint,2.3288
Warsteiner,Warsteiner,Beer,Lager,1,pint,2.7264
Westons Caple Rd Blend No 3 Cider,Westons,Cider,,330,ml,1.7160
Westons Caple Rd Blend No 3 Cider,Westons,Cider,,1,pint,2.9536
Westons Mortimers Orchard Cider,Westons,Cider,,1,pint,2.8400
Westons Mortimers Orchard English Berry,Westons,Cider,Fruit Cider,1,pint,2.2720
Westons Old Rosie,Westons,Cider,,1,pint,4.1464
Westons Rosie's Pig,Westons,Cider,,1,pint,2.7264
Westons Rosie's Pig Flat Tyre,Westons,Cider,Fruit Cider,330,ml,1.3200
Westons Rosie's Pig Flat Tyre,Westons,Cider,Fruit Cider,1,pint,2.2720
Westons Rosie's Pig Handbrake,Westons,Cider,Fruit Cider,330,ml,1.3200
Westons Rosie's Pig Handbrake,Westons,Cider,Fruit Cider,1,pint,2.2720
Westons Wyld Wood Organic Cider,Westons,Cider,,500,ml,3.0000
Westons Wyld Wood Organic Cider,Westons,Cider,,1,pint,3.4080
Whipstitch Festival Apple Cider,Whipstitch,Cider,,330,ml,1.5510
Whipstitch Festival Apple Cider,Whipstitch,Cider,,1,pint,2.6696
Whipstitch Festival Dark Fruits Cider,Whipstitch,Cider,Fruit Cider,330,ml,1.5510
Whitbread Best Bitter,Whitbread,Beer,Bitter,1,pint,1.8744
Wild Beer Bibble,The Wild Beer Co,Beer,Pale Ale,330,ml,1.3860
Wild Beer Fresh,The Wild Beer Co,Beer,Ale,330,ml,1.8150
Wild Beer Madness IPA,The Wild Beer Co,Beer,IPA,330,ml,2.2440
Wild Beer Millionaire,The Wild Beer Co,Beer,Stout,330,ml,1.5510
Wild Beer Nebula Hazy IPA,The Wild Beer Co,Beer,IPA,330,ml,1.6500
Wild Beer Pogo,The Wild Beer Co,Beer,Pale Ale,330,ml,1.3200
Wild Beer Sleeping Lemons,The Wild Beer Co,Beer,Gose,330,ml,1.1880
Wild Beer Sleeping Limes,The Wild Beer Co,Beer,Gose,330,ml,1.5180
Wild Beer Yokai,The Wild Beer Co,Beer,IPA,330,ml,1.6500
Wild River,Fuller's,Beer,Pale Ale,330,ml,1.4850
Wild River,Fuller's,Beer,Pale Ale,1,pint,2.5560
Woodpecker Cider,Woodpecker,Cider,,275,ml,0.9625
Worthington Creamflow,Worthington,Beer,Bitter,1,pint,2.0448
Wychwood Hoppleganger,Wychwood,Beer,Blonde Ale,1,pint,2.4992
Wylam Club of Slaughters,Wylam,Beer,Stout,330,ml,2.9040
Wylam Haxan,Wylam,Beer,Wheat Beer,330,ml,2.0460
Wylam Hickey the Rake,Wylam,Beer,Pale Ale,330,ml,1.3860
Wylam Jakehead IPA,Wylam,Beer,IPA,330,ml,2.0790
Wylam Le Sasionnier,Wylam,Beer,Saison,330,ml,1.7820
Wylam Remain in Light,Wylam,Beer,Pale Ale,330,ml,1.6500
Yeastie Boys Bigmouth,Yeastie Boys,Beer,IPA,330,ml,1.4520
Yeastie Boys Digital IPA,Yeastie Boys,Beer,IPA,330,ml,1.8810
Yeastie Boys Gunnamatta,Yeastie Boys,Beer,IPA,330,ml,2.1450
Yeastie Boys Pot Kettle Black,Yeastie Boys,Beer,Porter,330,ml,1.9800
Yeastie Boys White Noise,Yeastie Boys,Beer,Wheat Beer,330,ml,1.4520
Young's Bitter,Young's,Beer,Bitter,1,pint,2.1016
Young's London Stout,Young's,Beer,Stout,1,pint,2.4424
Zeffer Hopped Infused Cider,Zeffer,Cider,,330,ml,1.7820
Zywiec,Zywiec,Beer,Lager,500,ml,2.8000
